date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:38	65022/65022	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:04%20GMT	https://b2c.kiwi/checkout	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/checkout.html	(from https://b2c.kiwi/)
23:57:39	63337/63337	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:05%20GMT	https://b2c.kiwi/products?categoryId=107	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/productse680.html	(from https://b2c.kiwi/)
23:57:39	63337/63337	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:05%20GMT	https://b2c.kiwi/products?categoryId=105	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/products4a0a.html	(from https://b2c.kiwi/)
23:57:40	63337/63337	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:06%20GMT	https://b2c.kiwi/products?categoryId=99	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/products7f15.html	(from https://b2c.kiwi/)
23:57:40	44775/44775	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:06%20GMT	https://b2c.kiwi/contact	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/contact.html	(from https://b2c.kiwi/)
23:57:41	45775/45775	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:06%20GMT	https://b2c.kiwi/orders	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/orders.html	(from https://b2c.kiwi/)
23:57:41	39595/39595	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:07%20GMT	https://b2c.kiwi/about-us	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/about-us.html	(from https://b2c.kiwi/)
23:57:41	40309/40309	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:07%20GMT	https://b2c.kiwi/faq	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/faq.html	(from https://b2c.kiwi/)
23:57:42	306/306	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2011:56:08%20GMT	https://b2c.kiwi/api	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api.25.delayed	(from https://b2c.kiwi/)
23:57:42	107118/107118	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:08%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_14_23_34_adv%202.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_14_23_34_adv%202532e.jpg	(from https://b2c.kiwi/)
23:57:43	74104/74104	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:09%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_09_12_32_10_adv-2.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_09_12_32_10_adv-27abc.jpg	(from https://b2c.kiwi/)
23:57:43	123472/123472	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:09%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_14_26_35_adv%201.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_14_26_35_adv%201b7c6.jpg	(from https://b2c.kiwi/)
23:57:44	59094/59094	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:11%20GMT	https://b2c.kiwi/detail/731	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/731.html	(from https://b2c.kiwi/)
23:57:44	107118/107118	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:10%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_14_11_49_35_1.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_14_11_49_35_17a34.jpg	(from https://b2c.kiwi/)
23:57:45	52265/52265	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:12%20GMT	https://b2c.kiwi/detail/716	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/716.html	(from https://b2c.kiwi/)
23:57:46	244222/244222	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:12%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_09_16_43_34_%c2%a6%c2%a6%c2%a5%c2%a64%c2%a6%c2%af%c2%a6%c3%be%c2%a9-.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_09_16_43_34_%a6%a6%a5%a64%a6%af%a6%fe%a9-af96.jpg	(from https://b2c.kiwi/)
23:57:46	53437/53437	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:13%20GMT	https://b2c.kiwi/detail/714	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/714.html	(from https://b2c.kiwi/)
23:57:47	425439/425439	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:13%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_04_12_09_58_%e8%83%8c%e6%99%af2%e5%b0%ba%e5%af%b8.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_04_12_09_58___2__19a1.jpg	(from https://b2c.kiwi/)
23:57:47	53096/53096	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:13%20GMT	https://b2c.kiwi/detail/702	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/702.html	(from https://b2c.kiwi/)
23:57:48	857260/857260	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:14%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_04_11_21_09_%e8%83%8c%e6%99%af2%e4%b8%bb%e9%a1%b5%e5%9b%be%20copy%2010.33.56%20AM.jpg&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_04_11_21_09___2___%20copy%2010.33.56%20AMd7f4.jpg	(from https://b2c.kiwi/)
23:57:48	53530/53530	---MC-	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2011:56:15%20GMT	https://b2c.kiwi/detail/723	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/detail/723.html	(from https://b2c.kiwi/)
23:57:49	345117/345117	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2006%20Sep%202021%2011:56:15%20GMT	https://b2c.kiwi/api/v1/attachment/download?filename=2019_01_10_12_41_53_WeChat%20Image_20190110124137.png&clientId=42	D:/My%20Web%20Sites/b2c.kiwi_/b2c.kiwi/api/v1/attachment/2019_01_10_12_41_53_WeChat%20Image_201901101241370efe.png	(from https://b2c.kiwi/)
